pPartNumbers,pCatentryId
8330514,548362
8329790,548392
7104741,548010
7012761,548002
7014020,548004
7014288,548006
7104222,548008
8316772,548022
8319188,548028
8302009,548040
8301732,548044
8320627,548048
8320593,548050
8320586,548052
8320892,548066
6179447,548070
6179674,548074
8323679,548090
8325196,548110
8325880,548114
8325361,548116
1270853,548124
8326858,548150
9822911,548198
9822894,548202
8326030,548210
8325990,548212
8328973,548216
8329082,548286
8330514,548362
8330318,548378
8329790,548392
8331087,548584
1273843,548598
8322522,548076
1274385,548610
8332055,548642
8333511,548910
9000104,548946
6172516,548982
8335258,549014
8335162,549036
8334943,549058
8331434,549074
4396514,1379037
6174284,1523558
7004119,549492
6172413,548792
5340882,549920
6179131,549926
6179612,549932
5344819,549940
6000372,549984
6000468,549998
6000444,550000
6001742,550060
6171799,550102
6005597,550164
6005580,550166
6001522,550276
9293265,550316
2409946,1127530
2398545,1127548
2272104,1127596
6172846,551506
6005779,551574
7328527,937144
2569855,551926
2552271,551928
2552460,551936
2552790,551958
2553593,551962
2553579,551964
2553706,551966
5139141,551982
2554750,551992
5408975,1468191
9004203,552008
1070424,1011008
2555223,552694
2376316,1129074
2285414,1129080
2281504,1129100
2414797,1129102
2419785,1129110
3470572,553844
4306528,553846
4306793,553848
4387846,845508
4387808,845514
3487541,553898
4326522,553970
4325413,553986
3498561,554014
1915352,1120712
3498451,554018
3498420,554022
3491843,554034
3844270,554050
4328317,554082
4327992,554086
4327923,554092
3499869,554100
3877182,554188
9005343,554240
3843587,554250
3672466,554256
3937606,704010
9257115,554310
9257108,554312
9257043,554318
3677502,554406
3653007,554408
3677375,554410
9287099,554508
9272310,554520
9272097,554532
3969966,554550
9329342,554686
9368815,554724
2555199,554726
3677492,555024
3177411,863762
9023497,555510
1513936,1942062
9802759,555744
9802766,555746
9827466,555758
9827954,555762
9803954,555778
9829079,555784
9829701,555808
9820645,555852
9800304,555866
9821352,555872
9822870,555884
9822650,555890
9822973,555906
9822966,555908
6505262,555936
6000774,555964
9823116,555968
9823109,555970
9823154,555974
7001617,555990
7001600,555992
7001590,555994
7001583,555996
3450736,556074
3450729,556076
3450901,556086
3450767,556100
9805268,556286
9805251,556288
9805237,556292
9805172,556300
9805275,556302
9805354,556338
9805347,556340
9805323,556342
7002984,556432
9264751,556544
9805550,556702
7003512,556718
9805615,556768
9805608,556770
9805598,556772
9805581,556774
2554963,556852
2554877,556854
7192069,557168
4008486,875880
9387205,557366
3451302,557422
9016909,557652
7400067,557698
7400122,557700
7408234,557702
8321798,557724
7409800,557730
4428035,557752
8326559,557756
7402560,557784
5135451,557796
7404032,557874
7404018,557876
8326975,557878
4432894,557886
4417297,557916
8331977,557956
7404458,558082
